alpha,year,long_count,short_count,pnl,sharpe,fitness,returns,draw_down,turn_over,margin
sharesout/vwap,2014,833,2079,-1.40M,-2.29,-6.54,-13.96%,8.05%,1.71%,-162.25bpm
sharesout/vwap,2015,823,2072,-88.0K,-0.09,-0.06,-0.88%,5.86%,2.20%,-7.92bpm
sharesout/vwap,2016,835,2067,17.7K,0.02,0.01,0.18%,3.28%,1.74%,2.02bpm
sharesout/vwap,2017,850,2061,311K,4.21,26.64,37.35%,0.45%,0.93%,793.90bpm
sharesout/vwap,2012-2017,834,2073,105K,0.03,0.01,0.21%,11.64%,1.86%,2.28bpm
vwap/sharesout,2012,921,1986,-447K,-0.87,-1.17,-5.31%,4.52%,2.89%,-36.45bpm
vwap/sharesout,2013,939,1979,-249K,-0.60,-0.69,-2.49%,2.22%,1.85%,-26.64bpm
vwap/sharesout,2014,923,1990,71.8K,0.16,0.09,0.72%,2.19%,2.57%,5.53bpm
vwap/sharesout,2015,901,1994,-15.7K,-0.03,-0.01,-0.16%,2.42%,3.57%,-0.87bpm
vwap/sharesout,2016,893,2009,330K,0.45,0.53,3.30%,5.14%,2.43%,26.88bpm
vwap/sharesout,2017,877,2034,-288K,-5.59,-24.96,-34.59%,1.50%,1.74%,-395.15bpm
vwap/sharesout,2012-2017,915,1992,-598K,-0.22,-0.15,-1.21%,6.93%,2.64%,-9.13bpm
vwap + cap,2012,859,2049,310K,0.56,0.79,3.68%,3.26%,1.85%,39.44bpm
vwap + cap,2013,853,2066,-1.38M,-2.24,-7.98,-13.76%,6.81%,1.08%,-252.51bpm
vwap + cap,2014,858,2054,321K,0.36,0.60,3.21%,3.09%,1.13%,56.59bpm
vwap + cap,2015,842,2053,751K,0.89,2.13,7.51%,2.95%,1.30%,114.16bpm
vwap + cap,2016,844,2058,-921K,-0.91,-2.64,-9.21%,10.61%,1.10%,-165.86bpm
vwap + cap,2017,855,2056,62.9K,0.87,2.53,7.55%,0.63%,0.89%,167.60bpm
vwap + cap,2012-2017,851,2056,-853K,-0.21,-0.25,-1.73%,12.52%,1.27%,-27.10bpm
vwap - cap,2012,2051,856,-310K,-0.56,-0.79,-3.69%,4.81%,1.85%,-39.57bpm
vwap - cap,2013,2066,852,1.38M,2.24,7.99,13.75%,2.13%,1.08%,253.02bpm
vwap - cap,2014,2056,857,-319K,-0.35,-0.60,-3.19%,6.06%,1.12%,-56.31bpm
vwap - cap,2015,2053,841,-749K,-0.89,-2.13,-7.49%,6.36%,1.30%,-114.09bpm
vwap - cap,2016,2059,843,919K,0.91,2.63,9.19%,4.66%,1.10%,165.68bpm
vwap - cap,2017,2058,853,-62.7K,-0.87,-2.52,-7.52%,1.36%,0.89%,-167.43bpm
vwap - cap,2012-2017,2057,850,853K,0.21,0.25,1.73%,12.72%,1.27%,27.17bpm
vwap * cap,2012,740,2168,673K,0.92,1.58,8.00%,3.95%,2.75%,57.79bpm
vwap * cap,2013,750,2169,-1.60M,-2.10,-7.10,-16.01%,9.34%,1.40%,-226.99bpm
vwap * cap,2014,755,2158,283K,0.32,0.42,2.83%,2.75%,1.63%,34.49bpm
vwap * cap,2015,739,2156,1.31M,1.37,3.63,13.12%,2.56%,1.86%,140.07bpm
vwap * cap,2016,735,2167,-903K,-0.79,-2.06,-9.03%,10.54%,1.32%,-136.23bpm
vwap * cap,2017,745,2166,46.1K,0.58,1.34,5.54%,0.71%,1.05%,105.01bpm
vwap * cap,2012-2017,744,2163,-190K,-0.04,-0.02,-0.39%,14.58%,1.75%,-4.38bpm
cap/vwap,2012,887,2020,188K,0.39,0.51,2.24%,2.05%,1.36%,32.67bpm
cap/vwap,2013,893,2026,-649K,-1.22,-3.33,-6.49%,4.62%,0.87%,-147.31bpm
cap/vwap,2014,910,2002,-321K,-0.43,-0.83,-3.21%,3.43%,0.87%,-73.58bpm
cap/vwap,2015,919,1975,274K,0.45,0.71,2.74%,2.00%,1.09%,49.90bpm
cap/vwap,2016,911,1991,-644K,-0.94,-2.66,-6.44%,5.69%,0.81%,-157.44bpm
cap/vwap,2017,919,1991,176K,2.62,16.16,21.11%,0.46%,0.55%,755.80bpm
cap/vwap,2012-2017,905,2002,-975K,-0.31,-0.44,-1.98%,8.36%,0.98%,-40.06bpm
vwap/cap,2012,1116,1792,222K,0.45,0.48,2.64%,2.54%,2.36%,22.19bpm
vwap/cap,2013,1115,1803,677K,1.47,3.09,6.77%,1.33%,1.54%,87.36bpm
vwap/cap,2014,1124,1788,-241K,-0.42,-0.48,-2.41%,3.91%,1.88%,-25.41bpm
vwap/cap,2015,1108,1786,-399K,-0.76,-1.02,-3.99%,2.76%,2.21%,-35.77bpm
vwap/cap,2016,1103,1799,714K,1.19,2.34,7.14%,2.65%,1.86%,76.29bpm
vwap/cap,2017,1098,1813,-397K,-10.37,-59.19,-47.61%,1.88%,1.46%,-646.15bpm
vwap/cap,2012-2017,1113,1794,577K,0.21,0.17,1.17%,5.71%,1.95%,11.92bpm
vwap + split,2012,1117,1791,46.1K,0.09,0.04,0.55%,2.79%,2.49%,4.36bpm
vwap + split,2013,1126,1792,-889K,-1.89,-4.37,-8.89%,4.26%,1.66%,-106.01bpm
vwap + split,2014,1131,1781,624K,1.01,1.86,6.24%,1.66%,1.86%,66.71bpm
vwap + split,2015,1104,1790,811K,1.11,2.19,8.11%,2.25%,2.08%,77.31bpm
vwap + split,2016,1090,1812,-1.10M,-1.30,-3.34,-10.96%,9.49%,1.66%,-130.65bpm
vwap + split,2017,1073,1838,68.0K,1.40,3.36,8.15%,0.39%,1.41%,114.77bpm
vwap + split,2012-2017,1113,1794,-436K,-0.13,-0.09,-0.89%,9.59%,1.92%,-9.13bpm
vwap - split,2012,1117,1791,46.1K,0.09,0.04,0.55%,2.79%,2.49%,4.37bpm
vwap - split,2013,1126,1792,-889K,-1.89,-4.37,-8.89%,4.26%,1.66%,-105.98bpm
vwap - split,2014,1131,1781,624K,1.01,1.86,6.24%,1.66%,1.86%,66.70bpm
vwap - split,2015,1104,1790,811K,1.11,2.19,8.11%,2.25%,2.08%,77.30bpm
vwap - split,2016,1090,1812,-1.10M,-1.30,-3.34,-10.96%,9.49%,1.67%,-130.64bpm
vwap - split,2017,1073,1838,68.0K,1.40,3.36,8.15%,0.39%,1.41%,114.75bpm
vwap - split,2012-2017,1113,1794,-436K,-0.13,-0.09,-0.89%,9.59%,1.92%,-9.13bpm
vwap * split,2012,1117,1791,46.2K,0.09,0.04,0.55%,2.79%,2.49%,4.37bpm
vwap * split,2013,1126,1792,-890K,-1.89,-4.37,-8.90%,4.26%,1.67%,-105.80bpm
vwap * split,2014,1131,1781,619K,1.01,1.84,6.19%,1.66%,1.86%,66.03bpm
vwap * split,2015,1104,1791,809K,1.11,2.18,8.09%,2.25%,2.09%,76.93bpm
vwap * split,2016,1090,1812,-1.10M,-1.30,-3.34,-10.96%,9.49%,1.67%,-130.50bpm
vwap * split,2017,1073,1838,68.0K,1.40,3.36,8.15%,0.39%,1.41%,114.47bpm
vwap * split,2012-2017,1113,1794,-443K,-0.14,-0.09,-0.90%,9.59%,1.93%,-9.26bpm
split/vwap,2012,1072,1836,-202K,-0.32,-0.25,-2.40%,5.53%,3.75%,-12.69bpm
split/vwap,2013,1043,1875,531K,0.83,1.12,5.31%,3.36%,2.92%,36.07bpm
split/vwap,2014,1029,1883,-1.41M,-1.73,-3.73,-14.15%,10.80%,3.05%,-91.92bpm
split/vwap,2015,1021,1873,-1.03M,-0.94,-1.52,-10.29%,8.31%,3.93%,-51.94bpm
split/vwap,2016,1026,1875,1.29M,1.04,2.08,12.93%,4.95%,3.26%,78.69bpm
split/vwap,2017,1040,1871,36.6K,0.54,0.72,4.39%,1.09%,2.49%,35.00bpm
split/vwap,2012-2017,1037,1870,-785K,-0.17,-0.12,-1.59%,18.55%,3.36%,-9.42bpm
vwap/split,2012,1117,1791,48.1K,0.10,0.05,0.57%,2.79%,2.51%,4.53bpm
vwap/split,2013,1126,1792,-887K,-1.89,-4.35,-8.87%,4.25%,1.67%,-105.31bpm
vwap/split,2014,1131,1781,623K,1.01,1.85,6.23%,1.66%,1.86%,66.39bpm
vwap/split,2015,1104,1790,809K,1.11,2.18,8.09%,2.25%,2.09%,76.80bpm
vwap/split,2016,1090,1812,-1.10M,-1.30,-3.34,-10.96%,9.49%,1.67%,-130.36bpm
vwap/split,2017,1073,1838,67.8K,1.39,3.34,8.14%,0.39%,1.42%,113.50bpm
vwap/split,2012-2017,1113,1794,-434K,-0.13,-0.09,-0.88%,9.59%,1.93%,-9.05bpm
vwap + dividend,2012,1117,1791,45.9K,0.09,0.04,0.55%,2.79%,2.49%,4.34bpm
vwap + dividend,2013,1126,1792,-889K,-1.89,-4.37,-8.89%,4.26%,1.66%,-105.98bpm
vwap + dividend,2014,1131,1781,624K,1.01,1.86,6.24%,1.66%,1.86%,66.67bpm
vwap + dividend,2015,1104,1790,811K,1.11,2.19,8.11%,2.25%,2.08%,77.27bpm
vwap + dividend,2016,1090,1812,-1.10M,-1.30,-3.34,-10.96%,9.49%,1.67%,-130.59bpm
vwap + dividend,2017,1073,1838,68.0K,1.40,3.36,8.15%,0.39%,1.41%,114.77bpm
vwap + dividend,2012-2017,1113,1794,-436K,-0.13,-0.09,-0.89%,9.59%,1.93%,-9.13bpm
vwap - dividend,2012,1117,1791,46.3K,0.09,0.04,0.55%,2.78%,2.50%,4.37bpm
vwap - dividend,2013,1126,1792,-889K,-1.89,-4.37,-8.89%,4.26%,1.67%,-105.84bpm
vwap - dividend,2014,1131,1781,624K,1.01,1.86,6.24%,1.66%,1.86%,66.62bpm
vwap - dividend,2015,1104,1790,811K,1.11,2.19,8.11%,2.25%,2.08%,77.25bpm
vwap - dividend,2016,1090,1812,-1.10M,-1.30,-3.34,-10.97%,9.49%,1.67%,-130.50bpm
vwap - dividend,2017,1073,1838,68.0K,1.40,3.36,8.15%,0.39%,1.41%,114.65bpm
vwap - dividend,2012-2017,1113,1794,-436K,-0.13,-0.09,-0.89%,9.59%,1.93%,-9.11bpm
vwap * dividend,2012,91,1027,-387K,-0.65,-0.16,-4.60%,3.44%,73.93%,-1.23bpm
vwap * dividend,2013,86,966,-720K,-1.50,-0.47,-7.20%,4.88%,72.34%,-1.98bpm
vwap * dividend,2014,88,965,631K,0.91,0.27,6.31%,1.96%,73.49%,1.70bpm
vwap * dividend,2015,90,972,-268K,-0.43,-0.08,-2.68%,5.01%,73.17%,-0.73bpm
vwap * dividend,2016,90,991,-302K,-0.43,-0.09,-3.02%,4.51%,72.53%,-0.83bpm
vwap * dividend,2017,59,752,21.9K,0.39,0.08,2.62%,1.06%,68.65%,0.76bpm
vwap * dividend,2012-2017,88,979,-1.02M,-0.32,-0.05,-2.08%,8.56%,72.99%,-0.57bpm
dividend/vwap,2012,97,1021,-1.39M,-2.09,-0.99,-16.55%,6.96%,73.41%,-4.47bpm
dividend/vwap,2013,91,961,-1.20M,-1.93,-0.78,-11.95%,6.19%,72.22%,-3.28bpm
dividend/vwap,2014,94,959,131K,0.24,0.03,1.31%,1.89%,72.03%,0.36bpm
dividend/vwap,2015,96,965,-1.22M,-2.06,-0.85,-12.24%,7.12%,71.98%,-3.37bpm
dividend/vwap,2016,96,985,-222K,-0.38,-0.07,-2.22%,5.54%,71.86%,-0.61bpm
dividend/vwap,2017,63,748,29.0K,0.69,0.16,3.48%,0.47%,68.11%,1.01bpm
dividend/vwap,2012-2017,95,973,-3.87M,-1.26,-0.42,-7.86%,21.80%,72.19%,-2.16bpm
vwap/dividend,2012,3,4,1.38M,1.08,0.37,16.43%,5.78%,142.92%,2.28bpm
vwap/dividend,2013,3,3,-1.43M,-1.00,-0.32,-14.25%,10.85%,138.10%,-2.05bpm
vwap/dividend,2014,3,4,567K,0.42,0.08,5.67%,10.58%,141.27%,0.80bpm
vwap/dividend,2015,3,4,1.29M,0.70,0.22,12.92%,7.73%,136.51%,1.88bpm
vwap/dividend,2016,3,4,-1.47M,-0.87,-0.29,-14.72%,10.72%,134.13%,-2.18bpm
vwap/dividend,2017,1,1,-40.3K,-0.41,-0.08,-4.84%,1.50%,119.05%,-0.81bpm
vwap/dividend,2012-2017,3,4,304K,0.04,0.00,0.62%,17.58%,138.11%,0.09bpm
close + open,2012,1118,1791,44.8K,0.09,0.04,0.53%,2.78%,2.42%,4.36bpm
close + open,2013,1126,1793,-884K,-1.88,-4.50,-8.84%,4.24%,1.54%,-113.87bpm
close + open,2014,1131,1781,630K,1.03,1.94,6.30%,1.66%,1.75%,71.26bpm
close + open,2015,1104,1791,806K,1.10,2.29,8.06%,2.25%,1.87%,85.30bpm
close + open,2016,1090,1813,-1.10M,-1.31,-3.53,-11.02%,9.50%,1.52%,-144.01bpm
close + open,2017,1074,1837,67.9K,1.40,3.43,8.15%,0.39%,1.35%,119.56bpm
close + open,2012-2017,1113,1795,-438K,-0.13,-0.09,-0.89%,9.61%,1.79%,-9.83bpm
close - open,2012,1432,1477,-735K,-2.28,-0.75,-8.74%,4.77%,81.37%,-2.13bpm
close - open,2013,1404,1515,-916K,-2.65,-0.89,-9.16%,4.70%,81.12%,-2.24bpm
close - open,2014,1433,1480,-372K,-0.61,-0.13,-3.72%,4.95%,81.25%,-0.91bpm
close - open,2015,1426,1469,-1.32M,-2.78,-1.11,-13.22%,6.88%,82.82%,-3.17bpm
close - open,2016,1420,1482,-754K,-1.73,-0.53,-7.54%,5.21%,81.58%,-1.83bpm
close - open,2017,1444,1467,108K,5.16,2.04,12.91%,0.19%,82.62%,3.10bpm
close - open,2012-2017,1423,1484,-3.99M,-1.77,-0.56,-8.11%,22.65%,81.65%,-1.97bpm
close * open,2012,865,2044,-424K,-0.68,-0.92,-5.03%,5.28%,2.73%,-36.53bpm
close * open,2013,883,2035,-1.04M,-1.71,-4.22,-10.38%,5.81%,1.71%,-120.51bpm
close * open,2014,872,2041,408K,0.66,0.95,4.08%,2.08%,1.98%,40.89bpm
close * open,2015,842,2053,1.01M,1.38,3.05,10.13%,2.32%,2.07%,97.16bpm
close * open,2016,831,2071,-1.03M,-1.24,-3.34,-10.26%,9.03%,1.43%,-142.66bpm
close * open,2017,824,2087,63.7K,1.26,2.68,7.64%,0.51%,1.69%,89.52bpm
close * open,2012-2017,858,2050,-1.00M,-0.29,-0.29,-2.03%,11.32%,1.96%,-20.65bpm
open/close,2012,1438,1471,553K,1.16,0.33,6.57%,2.52%,80.98%,1.61bpm
open/close,2013,1462,1457,520K,1.07,0.27,5.20%,2.26%,81.64%,1.26bpm
open/close,2014,1446,1466,-52.3K,-0.05,0.00,-0.52%,8.25%,81.78%,-0.13bpm
open/close,2015,1431,1464,1.13M,1.53,0.56,11.26%,1.70%,82.51%,2.71bpm
open/close,2016,1440,1462,-198K,-0.26,-0.04,-1.98%,7.57%,81.49%,-0.48bpm
open/close,2017,1437,1474,-127K,-2.64,-1.14,-15.20%,1.24%,80.98%,-3.72bpm
open/close,2012-2017,1443,1464,1.82M,0.49,0.10,3.70%,8.25%,81.69%,0.90bpm
close/open,2012,1448,1460,-658K,-1.45,-0.45,-7.82%,4.05%,81.14%,-1.91bpm
close/open,2013,1435,1484,-512K,-1.09,-0.27,-5.12%,3.21%,81.72%,-1.24bpm
close/open,2014,1443,1469,-596K,-0.84,-0.23,-5.96%,7.29%,81.97%,-1.44bpm
close/open,2015,1439,1456,-1.15M,-1.69,-0.63,-11.48%,6.62%,82.66%,-2.76bpm
close/open,2016,1437,1465,249K,0.32,0.06,2.49%,5.62%,81.61%,0.60bpm
close/open,2017,1454,1457,117K,2.54,1.05,14.00%,0.45%,81.18%,3.42bpm
close/open,2012-2017,1440,1467,-2.55M,-0.80,-0.20,-5.17%,18.85%,81.83%,-1.25bpm
close + high,2012,1118,1791,41.4K,0.08,0.04,0.49%,2.78%,2.45%,3.99bpm
close + high,2013,1126,1793,-884K,-1.88,-4.47,-8.84%,4.24%,1.57%,-111.72bpm
close + high,2014,1131,1781,624K,1.02,1.91,6.24%,1.66%,1.78%,69.59bpm
close + high,2015,1104,1791,802K,1.10,2.26,8.02%,2.25%,1.90%,83.75bpm
close + high,2016,1090,1812,-1.10M,-1.31,-3.50,-11.02%,9.50%,1.55%,-141.43bpm
close + high,2017,1073,1838,67.9K,1.40,3.40,8.15%,0.39%,1.38%,117.31bpm
close + high,2012-2017,1113,1794,-451K,-0.14,-0.10,-0.92%,9.61%,1.82%,-9.97bpm
close - high,2012,1816,1092,39.5K,0.10,0.01,0.47%,2.23%,39.81%,0.23bpm
close - high,2013,1824,1095,94.8K,0.24,0.04,0.95%,1.46%,40.02%,0.47bpm
close - high,2014,1819,1093,69.2K,0.13,0.02,0.69%,3.50%,38.69%,0.36bpm
close - high,2015,1815,1080,-529K,-0.91,-0.34,-5.29%,4.52%,38.56%,-2.72bpm
close - high,2016,1831,1071,764K,1.32,0.59,7.64%,2.45%,38.55%,3.93bpm
close - high,2017,1839,1072,-37.2K,-1.13,-0.38,-4.46%,0.76%,40.14%,-2.21bpm
close - high,2012-2017,1821,1086,401K,0.16,0.02,0.82%,7.36%,39.12%,0.41bpm
close * high,2012,865,2044,-429K,-0.69,-0.93,-5.09%,5.30%,2.76%,-36.58bpm
close * high,2013,884,2035,-1.04M,-1.71,-4.18,-10.37%,5.81%,1.74%,-118.44bpm
close * high,2014,872,2040,395K,0.64,0.89,3.95%,2.08%,2.01%,38.93bpm
close * high,2015,842,2053,1.01M,1.37,3.01,10.10%,2.33%,2.10%,95.58bpm
close * high,2016,832,2071,-1.03M,-1.25,-3.31,-10.27%,9.03%,1.46%,-139.67bpm
close * high,2017,824,2087,63.3K,1.26,2.63,7.60%,0.51%,1.73%,87.03bpm
close * high,2012-2017,858,2049,-1.02M,-0.29,-0.30,-2.08%,11.33%,1.98%,-20.80bpm
high/close,2012,1201,1708,-41.3K,-0.06,-0.01,-0.49%,5.49%,57.96%,-0.17bpm
high/close,2013,1197,1721,1.16M,1.70,0.76,11.56%,1.88%,57.43%,3.99bpm
high/close,2014,1193,1719,-1.34M,-0.98,-0.49,-13.45%,11.00%,55.26%,-4.83bpm
high/close,2015,1177,1718,-169K,-0.16,-0.03,-1.69%,5.96%,57.18%,-0.59bpm
high/close,2016,1189,1713,1.23M,1.01,0.47,12.27%,4.53%,55.59%,4.38bpm
high/close,2017,1222,1689,-71.2K,-0.99,-0.38,-8.55%,1.38%,57.56%,-2.95bpm
high/close,2012-2017,1192,1716,756K,0.14,0.02,1.54%,13.34%,56.66%,0.54bpm
close/high,2012,1697,1211,-33.2K,-0.05,0.00,-0.40%,3.65%,57.98%,-0.14bpm
close/high,2013,1711,1207,-1.18M,-1.81,-0.82,-11.83%,6.55%,57.47%,-4.09bpm
close/high,2014,1709,1204,896K,0.80,0.32,8.96%,3.73%,55.26%,3.22bpm
close/high,2015,1706,1189,217K,0.22,0.04,2.17%,3.66%,57.17%,0.75bpm
close/high,2016,1702,1201,-1.25M,-1.06,-0.50,-12.49%,11.06%,55.57%,-4.46bpm
close/high,2017,1679,1233,59.7K,0.84,0.30,7.17%,0.72%,57.61%,2.47bpm
close/high,2012-2017,1705,1203,-1.29M,-0.27,-0.06,-2.63%,11.56%,56.66%,-0.92bpm
close + low,2012,1117,1791,45.7K,0.09,0.04,0.54%,2.78%,2.45%,4.40bpm
close + low,2013,1126,1793,-889K,-1.89,-4.50,-8.89%,4.26%,1.57%,-112.64bpm
close + low,2014,1131,1782,629K,1.02,1.92,6.29%,1.66%,1.78%,70.18bpm
close + low,2015,1104,1791,806K,1.10,2.27,8.06%,2.25%,1.90%,84.01bpm
close + low,2016,1089,1813,-1.10M,-1.31,-3.49,-11.01%,9.51%,1.55%,-141.21bpm
close + low,2017,1074,1837,68.2K,1.40,3.42,8.18%,0.39%,1.37%,118.39bpm
close + low,2012-2017,1113,1795,-441K,-0.13,-0.09,-0.89%,9.62%,1.82%,-9.74bpm
close - low,2012,1095,1814,-702K,-1.72,-0.80,-8.34%,4.66%,38.75%,-4.27bpm
close - low,2013,1105,1814,-628K,-1.63,-0.66,-6.28%,3.16%,38.93%,-3.20bpm
close - low,2014,1094,1819,171K,0.32,0.07,1.71%,2.71%,38.07%,0.89bpm
close - low,2015,1081,1814,-162K,-0.26,-0.05,-1.62%,3.05%,37.66%,-0.85bpm
close - low,2016,1082,1820,-1.11M,-1.92,-1.05,-11.09%,7.67%,37.33%,-5.89bpm
close - low,2017,1065,1846,19.5K,0.54,0.13,2.34%,0.26%,38.19%,1.22bpm
close - low,2012-2017,1091,1817,-2.41M,-0.92,-0.33,-4.89%,13.86%,38.13%,-2.55bpm
close * low,2012,865,2044,-422K,-0.68,-0.91,-5.02%,5.27%,2.77%,-35.95bpm
close * low,2013,883,2035,-1.04M,-1.71,-4.19,-10.38%,5.82%,1.73%,-118.83bpm
close * low,2014,872,2041,410K,0.66,0.94,4.10%,2.07%,2.01%,40.52bpm
close * low,2015,842,2053,1.01M,1.38,3.02,10.12%,2.32%,2.10%,95.45bpm
close * low,2016,831,2071,-1.02M,-1.24,-3.29,-10.25%,9.02%,1.46%,-139.01bpm
close * low,2017,823,2088,63.8K,1.26,2.66,7.65%,0.51%,1.73%,87.86bpm
close * low,2012-2017,858,2050,-999K,-0.29,-0.29,-2.03%,11.31%,1.99%,-20.27bpm
low/close,2012,1701,1207,1.45M,2.77,1.48,17.23%,1.88%,60.53%,5.65bpm
low/close,2013,1713,1206,-178K,-0.31,-0.05,-1.78%,3.42%,60.12%,-0.59bpm
low/close,2014,1713,1200,1.48M,1.66,0.84,14.80%,2.26%,58.18%,5.05bpm
low/close,2015,1704,1190,1.88M,2.40,1.35,18.78%,2.01%,59.27%,6.29bpm
low/close,2016,1701,1202,-564K,-0.50,-0.16,-5.64%,10.48%,58.25%,-1.92bpm
low/close,2017,1702,1209,25.8K,0.55,0.12,3.10%,0.42%,59.84%,1.03bpm
low/close,2012-2017,1707,1201,4.09M,1.00,0.38,8.31%,10.48%,59.24%,2.78bpm
close/low,2012,1196,1713,-1.54M,-2.82,-1.55,-18.26%,9.65%,60.48%,-5.99bpm
close/low,2013,1195,1724,103K,0.17,0.02,1.03%,2.31%,60.08%,0.34bpm
close/low,2014,1189,1723,-1.53M,-1.68,-0.86,-15.34%,10.93%,58.15%,-5.23bpm
close/low,2015,1178,1717,-1.99M,-2.42,-1.40,-19.90%,10.07%,59.29%,-6.66bpm
close/low,2016,1189,1713,497K,0.43,0.13,4.97%,6.37%,58.22%,1.69bpm
close/low,2017,1200,1712,-24.2K,-0.51,-0.11,-2.91%,0.80%,59.81%,-0.96bpm
close/low,2012-2017,1189,1718,-4.48M,-1.06,-0.42,-9.10%,31.71%,59.21%,-3.05bpm
close + volume,2012,889,2020,292K,0.53,0.24,3.47%,2.25%,16.52%,4.17bpm
close + volume,2013,906,2012,-222K,-0.43,-0.16,-2.22%,3.04%,16.57%,-2.66bpm
close + volume,2014,921,1992,-217K,-0.25,-0.09,-2.17%,4.77%,17.14%,-2.51bpm
close + volume,2015,913,1982,-326K,-0.53,-0.23,-3.26%,3.32%,16.56%,-3.90bpm
close + volume,2016,903,1999,285K,0.42,0.18,2.85%,2.76%,15.91%,3.55bpm
close + volume,2017,919,1992,151K,3.85,4.11,18.15%,0.45%,15.93%,22.60bpm
close + volume,2012-2017,907,2000,-36.7K,-0.01,0.00,-0.07%,6.81%,16.53%,-0.09bpm
close - volume,2012,2020,889,-292K,-0.53,-0.24,-3.47%,2.85%,16.52%,-4.17bpm
close - volume,2013,2012,906,222K,0.43,0.16,2.22%,1.67%,16.57%,2.66bpm
close - volume,2014,1992,921,217K,0.25,0.09,2.17%,4.22%,17.14%,2.51bpm
close - volume,2015,1982,913,326K,0.53,0.23,3.26%,1.42%,16.56%,3.90bpm
close - volume,2016,1999,903,-285K,-0.42,-0.18,-2.85%,3.36%,15.91%,-3.55bpm
close - volume,2017,1992,919,-151K,-3.85,-4.11,-18.15%,0.67%,15.93%,-22.60bpm
close - volume,2012-2017,2000,907,36.7K,0.01,0.00,0.07%,4.57%,16.53%,0.09bpm
close * volume,2012,870,2038,245K,0.44,0.20,2.92%,2.64%,14.26%,4.06bpm
close * volume,2013,881,2037,-880K,-1.53,-1.20,-8.80%,4.67%,14.31%,-12.20bpm
close * volume,2014,895,2017,794K,1.05,0.78,7.94%,2.25%,14.33%,11.00bpm
close * volume,2015,887,2007,588K,0.74,0.48,5.88%,2.91%,14.19%,8.22bpm
close * volume,2016,885,2017,-875K,-1.05,-0.84,-8.75%,8.52%,13.69%,-12.69bpm
close * volume,2017,887,2024,120K,1.98,2.02,14.37%,0.41%,13.91%,20.50bpm
close * volume,2012-2017,884,2023,-7.74K,0.00,0.00,-0.02%,8.56%,14.15%,-0.02bpm
volume/close,2012,795,2114,1.06M,0.95,0.80,12.65%,4.80%,17.65%,14.21bpm
volume/close,2013,808,2111,48.8K,0.06,0.01,0.49%,4.22%,17.64%,0.55bpm
volume/close,2014,808,2104,-1.82M,-1.16,-1.16,-18.22%,15.53%,18.29%,-19.76bpm
volume/close,2015,809,2086,-293K,-0.18,-0.07,-2.93%,7.40%,17.84%,-3.26bpm
volume/close,2016,797,2105,920K,0.43,0.32,9.20%,10.33%,16.46%,11.10bpm
volume/close,2017,785,2127,157K,2.98,3.30,18.78%,0.75%,15.38%,24.24bpm
volume/close,2012-2017,803,2104,74.9K,0.01,0.00,0.15%,18.72%,17.54%,0.17bpm
close/volume,2012,785,2123,-846K,-1.52,-1.11,-10.06%,5.90%,18.84%,-10.59bpm
close/volume,2013,807,2111,-855K,-1.78,-1.23,-8.55%,5.29%,17.69%,-9.59bpm
close/volume,2014,840,2072,275K,0.52,0.23,2.75%,1.87%,13.65%,3.99bpm
close/volume,2015,835,2059,7.30K,0.01,0.00,0.07%,2.32%,15.59%,0.09bpm
close/volume,2016,824,2079,340K,0.40,0.20,3.40%,5.63%,13.80%,4.89bpm
close/volume,2017,805,2106,-405K,-7.47,-13.81,-48.58%,2.04%,14.19%,-67.91bpm
close/volume,2012-2017,819,2088,-1.48M,-0.46,-0.20,-3.01%,11.14%,15.79%,-3.79bpm
close + returns,2012,1118,1791,40.7K,0.08,0.04,0.48%,2.78%,2.49%,3.86bpm
close + returns,2013,1126,1793,-889K,-1.89,-4.45,-8.89%,4.26%,1.60%,-110.03bpm
close + returns,2014,1131,1782,625K,1.02,1.89,6.25%,1.66%,1.81%,68.33bpm
close + returns,2015,1104,1791,803K,1.10,2.24,8.03%,2.25%,1.94%,82.20bpm
close + returns,2016,1090,1813,-1.10M,-1.31,-3.47,-11.04%,9.52%,1.58%,-138.49bpm
close + returns,2017,1073,1838,68.0K,1.40,3.36,8.16%,0.39%,1.41%,114.53bpm
close + returns,2012-2017,1113,1795,-457K,-0.14,-0.10,-0.93%,9.63%,1.86%,-9.92bpm
close - returns,2012,1118,1791,41.1K,0.08,0.04,0.49%,2.78%,2.47%,3.93bpm
close - returns,2013,1126,1793,-889K,-1.89,-4.47,-8.89%,4.26%,1.59%,-110.92bpm
close - returns,2014,1131,1782,626K,1.02,1.90,6.26%,1.66%,1.80%,68.87bpm
close - returns,2015,1104,1791,803K,1.10,2.25,8.03%,2.25%,1.93%,82.75bpm
close - returns,2016,1090,1813,-1.10M,-1.31,-3.48,-11.04%,9.51%,1.57%,-139.52bpm
close - returns,2017,1074,1838,67.9K,1.40,3.36,8.15%,0.39%,1.40%,115.17bpm
close - returns,2012-2017,1113,1795,-455K,-0.14,-0.10,-0.92%,9.62%,1.84%,-9.94bpm
close * returns,2012,1414,1494,-913K,-2.70,-0.98,-10.85%,5.14%,82.89%,-2.60bpm
close * returns,2013,1366,1553,-895K,-2.32,-0.77,-8.95%,4.56%,81.75%,-2.17bpm
close * returns,2014,1391,1521,-1.02M,-1.28,-0.45,-10.22%,7.91%,81.71%,-2.48bpm
