alpha,year,long_count,short_count,pnl,sharpe,fitness,returns,draw_down,turn_over,margin
sales_growth / cashflow_fin,2012-2017,1301.0,1335.0,286K,0.03,0.01,0.58%,26.03%,7.45%,1.54bpm
cashflow_fin / sales_growth,2012,1285.0,1347.0,356K,0.73,0.49,4.42%,1.83%,9.71%,9.03bpm
cashflow_fin / sales_growth,2013,1276.0,1305.0,435K,0.43,0.28,4.35%,3.42%,10.34%,8.35bpm
cashflow_fin / sales_growth,2014,1289.0,1277.0,1.19M,1.76,2.01,11.89%,2.42%,9.08%,25.98bpm
cashflow_fin / sales_growth,2015,1268.0,1279.0,70.5K,0.17,0.05,0.70%,1.72%,9.21%,1.52bpm
cashflow_fin / sales_growth,2016,1250.0,1320.0,111K,0.16,0.05,1.11%,5.22%,10.64%,2.06bpm
cashflow_fin / sales_growth,2017,1174.0,1349.0,344K,10.51,23.55,28.86%,0.13%,5.75%,99.60bpm
cashflow_fin / sales_growth,2012-2017,1271.0,1305.0,2.51M,0.73,0.53,5.09%,5.22%,9.70%,10.40bpm
sales_ps / cashflow_fin,2012,1449.0,1241.0,-104K,-0.11,-0.06,-1.29%,5.12%,4.34%,-5.91bpm
sales_ps / cashflow_fin,2013,1390.0,1269.0,38.4K,0.06,0.02,0.38%,2.56%,2.95%,2.59bpm
sales_ps / cashflow_fin,2014,1388.0,1267.0,-86.3K,-0.06,-0.03,-0.86%,12.04%,3.05%,-5.61bpm
sales_ps / cashflow_fin,2015,1336.0,1308.0,124K,0.1,0.07,1.24%,5.77%,2.52%,9.79bpm
sales_ps / cashflow_fin,2016,1247.0,1410.0,-60.2K,-0.07,-0.04,-0.60%,4.06%,2.42%,-4.94bpm
sales_ps / cashflow_fin,2017,1223.0,1407.0,-270K,-4.64,-14.32,-22.69%,1.86%,2.38%,-188.84bpm
sales_ps / cashflow_fin,2012-2017,1355.0,1304.0,-358K,-0.07,-0.03,-0.73%,12.04%,2.99%,-4.83bpm
cashflow_fin / sales_ps,2012,1433.0,1237.0,1.25M,1.15,2.3,15.57%,5.24%,3.91%,78.96bpm
cashflow_fin / sales_ps,2013,1334.0,1297.0,-942K,-0.55,-0.76,-9.42%,10.15%,4.90%,-38.10bpm
cashflow_fin / sales_ps,2014,1363.0,1255.0,721K,0.42,0.56,7.21%,9.32%,4.04%,35.36bpm
cashflow_fin / sales_ps,2015,1258.0,1336.0,270K,0.13,0.09,2.70%,7.08%,5.00%,10.72bpm
cashflow_fin / sales_ps,2016,1269.0,1343.0,-391K,-0.16,-0.14,-3.91%,10.18%,5.62%,-13.81bpm
cashflow_fin / sales_ps,2017,1317.0,1269.0,-733K,-3.23,-26.09,-61.57%,5.90%,0.95%,-1290.60bpm
cashflow_fin / sales_ps,2012-2017,1327.0,1295.0,179K,0.02,0.01,0.36%,14.77%,4.64%,1.56bpm
SGA_expense / cashflow_fin,2012,1095.0,1001.0,-634K,-0.69,-0.9,-7.88%,6.22%,4.68%,-33.40bpm
SGA_expense / cashflow_fin,2013,1091.0,985.0,-1.07M,-0.81,-1.43,-10.72%,9.07%,3.40%,-62.53bpm
SGA_expense / cashflow_fin,2014,1087.0,957.0,-1.49M,-1.06,-2.38,-14.93%,14.08%,2.95%,-100.24bpm
SGA_expense / cashflow_fin,2015,1064.0,977.0,-575K,-0.57,-0.8,-5.75%,6.35%,2.90%,-39.35bpm
SGA_expense / cashflow_fin,2016,1013.0,1142.0,29.1K,0.04,0.01,0.29%,3.21%,2.73%,2.11bpm
SGA_expense / cashflow_fin,2017,1063.0,1086.0,-192K,-3.37,-8.6,-16.16%,1.81%,2.48%,-129.43bpm
SGA_expense / cashflow_fin,2012-2017,1069.0,1015.0,-3.94M,-0.71,-1.11,-8.00%,23.89%,3.26%,-48.67bpm
cashflow_fin / SGA_expense,2012,943.0,1154.0,-265K,-0.79,-0.8,-3.29%,2.02%,3.17%,-20.58bpm
cashflow_fin / SGA_expense,2013,938.0,1140.0,-54.3K,-0.14,-0.06,-0.54%,1.84%,3.21%,-3.36bpm
cashflow_fin / SGA_expense,2014,909.0,1137.0,35.1K,0.07,0.02,0.35%,3.10%,3.05%,2.29bpm
cashflow_fin / SGA_expense,2015,871.0,1171.0,287K,0.38,0.28,2.87%,6.51%,5.27%,10.82bpm
cashflow_fin / SGA_expense,2016,918.0,1239.0,-334K,-0.55,-0.56,-3.34%,2.85%,3.23%,-20.51bpm
cashflow_fin / SGA_expense,2017,943.0,1206.0,30.9K,0.81,0.9,2.60%,0.38%,2.12%,24.25bpm
cashflow_fin / SGA_expense,2012-2017,915.0,1170.0,-299K,-0.11,-0.05,-0.61%,8.62%,3.56%,-3.38bpm
working_capital / cashflow_fin,2012,1051.0,1032.0,-825K,-0.84,-1.29,-10.24%,7.43%,4.39%,-46.27bpm
working_capital / cashflow_fin,2013,1035.0,1041.0,-317K,-0.25,-0.22,-3.17%,7.53%,4.09%,-15.37bpm
working_capital / cashflow_fin,2014,1122.0,944.0,-576K,-0.38,-0.48,-5.76%,15.56%,3.57%,-31.98bpm
working_capital / cashflow_fin,2015,1015.0,1019.0,-631K,-0.5,-0.72,-6.31%,6.48%,3.04%,-41.10bpm
working_capital / cashflow_fin,2016,967.0,1037.0,525K,0.63,0.82,5.25%,4.08%,3.12%,33.40bpm
working_capital / cashflow_fin,2017,1018.0,1008.0,-138K,-3.3,-7.09,-11.61%,0.84%,2.52%,-91.52bpm
working_capital / cashflow_fin,2012-2017,1037.0,1014.0,-1.96M,-0.32,-0.34,-3.98%,18.92%,3.59%,-22.03bpm
cashflow_fin / working_capital,2012,1005.0,1081.0,503K,1.11,1.2,6.24%,1.94%,5.33%,23.23bpm
cashflow_fin / working_capital,2013,980.0,1098.0,364K,0.37,0.28,3.64%,3.60%,6.28%,11.50bpm
cashflow_fin / working_capital,2014,1001.0,1068.0,-670K,-0.72,-0.77,-6.70%,6.88%,5.85%,-22.71bpm
cashflow_fin / working_capital,2015,962.0,1073.0,-328K,-0.47,-0.33,-3.28%,3.98%,6.70%,-9.71bpm
cashflow_fin / working_capital,2016,976.0,1029.0,-1.20M,-0.61,-0.85,-12.04%,18.43%,6.22%,-38.42bpm
cashflow_fin / working_capital,2017,868.0,1158.0,-234K,-3.47,-7.79,-19.69%,1.28%,3.90%,-100.14bpm
cashflow_fin / working_capital,2012-2017,981.0,1071.0,-1.57M,-0.28,-0.2,-3.18%,24.97%,6.05%,-10.44bpm
cashflow_op / cashflow_invst,2012,1367.0,1324.0,-1.01M,-1.1,-2.03,-12.57%,9.59%,3.72%,-66.98bpm
cashflow_op / cashflow_invst,2013,1373.0,1284.0,571K,0.42,0.53,5.71%,5.55%,3.67%,30.88bpm
cashflow_op / cashflow_invst,2014,1409.0,1235.0,-202K,-0.1,-0.06,-2.02%,9.27%,5.73%,-6.99bpm
cashflow_op / cashflow_invst,2015,1331.0,1299.0,497K,0.32,0.3,4.97%,8.05%,5.73%,17.22bpm
cashflow_op / cashflow_invst,2016,1300.0,1344.0,-620K,-0.37,-0.5,-6.20%,11.22%,3.34%,-36.82bpm
cashflow_op / cashflow_invst,2017,1260.0,1379.0,174K,1.54,3.75,14.58%,1.41%,2.47%,117.19bpm
cashflow_op / cashflow_invst,2012-2017,1353.0,1298.0,-593K,-0.08,-0.04,-1.20%,15.20%,4.42%,-5.41bpm
cashflow_invst / cashflow_op,2012,1433.0,1279.0,59.5K,0.11,0.05,0.74%,3.20%,3.63%,4.03bpm
cashflow_invst / cashflow_op,2013,1462.0,1219.0,190K,0.28,0.23,1.90%,2.76%,2.82%,13.40bpm
cashflow_invst / cashflow_op,2014,1494.0,1175.0,1.07M,0.81,1.47,10.65%,4.49%,3.23%,65.49bpm
cashflow_invst / cashflow_op,2015,1535.0,1121.0,-1.07M,-1.45,-2.55,-10.73%,7.66%,3.45%,-61.67bpm
cashflow_invst / cashflow_op,2016,1579.0,1091.0,549K,0.89,1.25,5.49%,1.88%,2.78%,39.23bpm
cashflow_invst / cashflow_op,2017,1553.0,1110.0,159K,3.36,8.16,13.34%,0.28%,2.27%,116.71bpm
cashflow_invst / cashflow_op,2012-2017,1504.0,1171.0,950K,0.23,0.18,1.93%,8.70%,3.14%,12.18bpm
cogs / cashflow_invst,2012,1501.0,1138.0,1.67M,2.55,6.3,20.68%,2.24%,3.37%,121.67bpm
cogs / cashflow_invst,2013,1558.0,1053.0,-1.30M,-1.11,-2.01,-13.03%,12.11%,3.93%,-65.71bpm
cogs / cashflow_invst,2014,1613.0,990.0,166K,0.2,0.15,1.66%,4.52%,2.88%,11.42bpm
cogs / cashflow_invst,2015,1541.0,1054.0,843K,1.11,1.76,8.43%,2.49%,3.32%,50.32bpm
cogs / cashflow_invst,2016,1479.0,1131.0,509K,0.48,0.57,5.09%,5.13%,3.62%,27.90bpm
cogs / cashflow_invst,2017,1476.0,1118.0,-101K,-1.45,-2.9,-8.46%,1.00%,2.13%,-78.86bpm
cogs / cashflow_invst,2012-2017,1539.0,1072.0,1.78M,0.38,0.4,3.62%,12.20%,3.40%,21.12bpm
cashflow_invst / cogs,2012,1633.0,1006.0,124K,0.3,0.17,1.53%,3.98%,4.42%,6.88bpm
cashflow_invst / cogs,2013,1608.0,997.0,1.07M,1.65,2.55,10.75%,3.28%,4.52%,47.22bpm
cashflow_invst / cogs,2014,1609.0,984.0,489K,0.77,0.77,4.89%,2.23%,4.92%,19.74bpm
cashflow_invst / cogs,2015,1625.0,951.0,1.06M,1.52,2.2,10.63%,2.29%,5.03%,41.96bpm
cashflow_invst / cogs,2016,1602.0,994.0,-571K,-1.03,-1.14,-5.71%,5.25%,4.61%,-24.57bpm
cashflow_invst / cogs,2017,1596.0,984.0,246K,3.48,6.89,20.65%,0.73%,5.27%,77.71bpm
cashflow_invst / cogs,2012-2017,1614.0,985.0,2.43M,0.79,0.81,4.93%,5.25%,4.72%,20.69bpm
current_ratio / cashflow_invst,2012,1375.0,709.0,-239K,-0.18,-0.12,-2.96%,5.82%,6.53%,-9.01bpm
current_ratio / cashflow_invst,2013,1356.0,719.0,-1.51M,-0.64,-0.99,-15.12%,15.39%,6.32%,-47.43bpm
current_ratio / cashflow_invst,2014,1353.0,715.0,2.64M,1.03,1.88,26.44%,6.14%,7.90%,66.45bpm
current_ratio / cashflow_invst,2015,1343.0,689.0,-577K,-0.24,-0.22,-5.77%,14.97%,6.94%,-16.50bpm
current_ratio / cashflow_invst,2016,1299.0,704.0,2.49M,0.89,1.69,24.93%,16.98%,6.88%,71.95bpm
current_ratio / cashflow_invst,2017,1335.0,689.0,-51.4K,-0.27,-0.32,-4.32%,2.17%,3.24%,-26.44bpm
current_ratio / cashflow_invst,2012-2017,1344.0,707.0,2.76M,0.23,0.21,5.60%,16.98%,6.84%,16.25bpm
cashflow_invst / current_ratio,2012,1398.0,689.0,208K,0.41,0.38,2.58%,2.95%,2.99%,17.14bpm
cashflow_invst / current_ratio,2013,1465.0,610.0,1.53M,2.24,5.28,15.26%,1.99%,2.75%,110.07bpm
cashflow_invst / current_ratio,2014,1449.0,619.0,-718K,-0.81,-1.36,-7.18%,8.34%,2.58%,-55.16bpm
cashflow_invst / current_ratio,2015,1408.0,627.0,-599K,-0.75,-1.05,-5.99%,4.42%,3.09%,-38.43bpm
cashflow_invst / current_ratio,2016,1405.0,600.0,804K,1.17,2.01,8.04%,2.55%,2.71%,58.76bpm
cashflow_invst / current_ratio,2017,1410.0,615.0,27.3K,0.35,0.39,2.29%,0.89%,1.80%,25.26bpm
cashflow_invst / current_ratio,2012-2017,1426.0,626.0,1.25M,0.34,0.32,2.54%,12.15%,2.79%,18.01bpm
debt / cashflow_invst,2012,1316.0,1014.0,899K,1.26,1.77,11.16%,3.12%,5.67%,39.02bpm
debt / cashflow_invst,2013,1357.0,942.0,-1.19M,-1.11,-1.83,-11.90%,9.17%,4.36%,-54.08bpm
debt / cashflow_invst,2014,1379.0,903.0,183K,0.24,0.14,1.83%,3.42%,5.30%,6.84bpm
debt / cashflow_invst,2015,1354.0,918.0,-339K,-0.37,-0.28,-3.39%,6.26%,6.25%,-10.78bpm
debt / cashflow_invst,2016,1345.0,937.0,-998K,-1.01,-1.4,-9.98%,9.35%,5.20%,-38.07bpm
debt / cashflow_invst,2017,1328.0,936.0,-187K,-2.8,-8.52,-15.72%,1.26%,1.69%,-184.40bpm
debt / cashflow_invst,2012-2017,1351.0,940.0,-1.63M,-0.36,-0.28,-3.31%,14.70%,5.25%,-12.52bpm
cashflow_invst / debt,2012,1306.0,667.0,-1.14M,-1.05,-1.38,-14.11%,7.61%,8.15%,-34.35bpm
cashflow_invst / debt,2013,1287.0,666.0,2.10M,1.69,3.06,20.96%,4.00%,6.42%,64.76bpm
cashflow_invst / debt,2014,1306.0,646.0,-1.01M,-0.65,-0.88,-10.12%,11.60%,5.49%,-36.57bpm
cashflow_invst / debt,2015,1287.0,668.0,2.37M,1.81,3.31,23.73%,3.47%,7.07%,66.56bpm
cashflow_invst / debt,2016,1308.0,700.0,395K,0.31,0.24,3.95%,4.54%,6.67%,11.74bpm
cashflow_invst / debt,2017,1326.0,674.0,-231K,-1.51,-4.58,-19.39%,2.98%,2.12%,-181.47bpm
cashflow_invst / debt,2012-2017,1299.0,670.0,2.48M,0.37,0.33,5.04%,11.60%,6.59%,15.18bpm
debt_lt / cashflow_invst,2012,1468.0,1109.0,460K,0.72,0.77,5.71%,2.71%,4.90%,23.14bpm
debt_lt / cashflow_invst,2013,1507.0,1040.0,-958K,-1.03,-1.69,-9.58%,8.33%,3.58%,-53.07bpm
debt_lt / cashflow_invst,2014,1586.0,957.0,31.3K,0.04,0.01,0.31%,3.25%,4.01%,1.55bpm
debt_lt / cashflow_invst,2015,1520.0,1017.0,-373K,-0.45,-0.39,-3.73%,4.86%,4.89%,-15.14bpm
debt_lt / cashflow_invst,2016,1531.0,1019.0,-786K,-0.84,-1.21,-7.86%,9.04%,3.82%,-40.83bpm
debt_lt / cashflow_invst,2017,1549.0,997.0,-448K,-7.04,-35.08,-37.66%,2.41%,1.52%,-492.83bpm
debt_lt / cashflow_invst,2012-2017,1525.0,1025.0,-2.07M,-0.49,-0.49,-4.21%,14.38%,4.15%,-20.15bpm
cashflow_invst / debt_lt,2012,1427.0,684.0,852K,0.99,1.05,10.58%,3.47%,9.26%,22.67bpm
cashflow_invst / debt_lt,2013,1403.0,708.0,665K,0.57,0.69,6.65%,6.80%,4.58%,28.83bpm
cashflow_invst / debt_lt,2014,1420.0,704.0,2.17M,1.67,3.49,21.66%,3.66%,4.97%,86.40bpm
cashflow_invst / debt_lt,2015,1408.0,740.0,894K,0.64,0.77,8.94%,3.05%,6.17%,28.74bpm
cashflow_invst / debt_lt,2016,1433.0,775.0,599K,0.42,0.42,5.99%,5.51%,5.93%,20.03bpm
cashflow_invst / debt_lt,2017,1472.0,734.0,-669K,-4.5,-24.65,-56.22%,4.14%,1.87%,-596.29bpm
cashflow_invst / debt_lt,2012-2017,1419.0,724.0,4.51M,0.71,0.88,9.15%,6.80%,5.96%,30.48bpm
debt_st / cashflow_invst,2012,1467.0,862.0,1.66M,2.0,3.51,20.66%,2.78%,6.73%,60.87bpm
debt_st / cashflow_invst,2013,1410.0,871.0,-1.58M,-1.09,-1.83,-15.79%,10.46%,5.59%,-56.08bpm
debt_st / cashflow_invst,2014,1484.0,790.0,61.1K,0.06,0.02,0.61%,5.50%,6.19%,1.96bpm
debt_st / cashflow_invst,2015,1437.0,830.0,-511K,-0.61,-0.54,-5.11%,4.15%,6.54%,-15.50bpm
debt_st / cashflow_invst,2016,1460.0,815.0,-1.86M,-1.64,-3.24,-18.55%,15.08%,4.72%,-77.97bpm
debt_st / cashflow_invst,2017,1469.0,787.0,-21.2K,-0.22,-0.19,-1.78%,1.85%,2.34%,-15.14bpm
debt_st / cashflow_invst,2012-2017,1451.0,831.0,-2.24M,-0.41,-0.36,-4.55%,22.98%,5.84%,-15.48bpm
cashflow_invst / debt_st,2012,1180.0,503.0,-1.25M,-1.9,-2.88,-15.50%,7.86%,6.73%,-45.69bpm
cashflow_invst / debt_st,2013,1160.0,499.0,530K,0.73,0.75,5.30%,3.93%,5.04%,20.88bpm
cashflow_invst / debt_st,2014,1160.0,478.0,-762K,-1.03,-1.26,-7.62%,5.86%,5.17%,-29.22bpm
cashflow_invst / debt_st,2015,1156.0,488.0,543K,0.84,0.89,5.43%,2.82%,4.88%,22.08bpm
cashflow_invst / debt_st,2016,1185.0,502.0,-530K,-0.65,-0.68,-5.30%,4.22%,4.73%,-22.23bpm
cashflow_invst / debt_st,2017,1137.0,517.0,217K,2.94,7.3,18.24%,0.62%,2.96%,122.43bpm
cashflow_invst / debt_st,2012-2017,1167.0,494.0,-1.25M,-0.34,-0.24,-2.54%,11.30%,5.20%,-9.69bpm
depre_amort / cashflow_invst,2012,1174.0,1120.0,443K,0.93,0.95,5.49%,2.33%,5.23%,20.84bpm
depre_amort / cashflow_invst,2013,1266.0,1004.0,-252K,-0.17,-0.13,-2.52%,6.71%,4.41%,-11.35bpm
depre_amort / cashflow_invst,2014,1287.0,964.0,-786K,-0.7,-0.89,-7.86%,7.52%,4.78%,-32.61bpm
depre_amort / cashflow_invst,2015,1268.0,978.0,1.32M,1.07,1.66,13.15%,6.83%,5.42%,48.18bpm
depre_amort / cashflow_invst,2016,1215.0,1035.0,870K,0.88,1.12,8.70%,3.85%,5.40%,31.98bpm
depre_amort / cashflow_invst,2017,1213.0,1074.0,-127K,-1.72,-2.77,-10.69%,1.32%,4.14%,-51.22bpm
depre_amort / cashflow_invst,2012-2017,1244.0,1018.0,1.46M,0.26,0.2,2.97%,14.28%,5.02%,11.74bpm
cashflow_invst / depre_amort,2012,1345.0,932.0,1.62M,2.31,3.74,20.05%,1.40%,7.62%,52.25bpm
cashflow_invst / depre_amort,2013,1378.0,875.0,1.27M,0.92,1.24,12.71%,5.46%,6.96%,36.27bpm
cashflow_invst / depre_amort,2014,1330.0,904.0,-2.28M,-1.57,-3.01,-22.84%,12.44%,6.23%,-72.74bpm
cashflow_invst / depre_amort,2015,1385.0,844.0,371K,0.25,0.17,3.71%,4.98%,7.51%,9.81bpm
cashflow_invst / depre_amort,2016,1391.0,839.0,100K,0.08,0.03,1.00%,5.85%,6.59%,3.01bpm
cashflow_invst / depre_amort,2017,1431.0,836.0,361K,1.39,3.79,30.34%,1.70%,4.10%,146.99bpm
cashflow_invst / depre_amort,2012-2017,1368.0,876.0,1.44M,0.21,0.14,2.92%,17.30%,6.89%,8.40bpm
EBIT / cashflow_invst,2012,1373.0,1319.0,-902K,-1.19,-2.07,-11.20%,8.60%,3.70%,-60.02bpm
EBIT / cashflow_invst,2013,1398.0,1260.0,243K,0.15,0.12,2.43%,6.96%,3.82%,12.62bpm
EBIT / cashflow_invst,2014,1399.0,1246.0,1.41M,0.63,0.95,14.15%,6.90%,6.23%,45.04bpm
EBIT / cashflow_invst,2015,1320.0,1311.0,257K,0.16,0.11,2.57%,8.58%,6.08%,8.40bpm
EBIT / cashflow_invst,2016,1271.0,1378.0,-616K,-0.36,-0.49,-6.16%,9.49%,3.30%,-37.06bpm
EBIT / cashflow_invst,2017,1266.0,1378.0,46.2K,0.39,0.49,3.88%,1.80%,2.45%,31.42bpm
EBIT / cashflow_invst,2012-2017,1349.0,1304.0,443K,0.05,0.02,0.90%,11.32%,4.61%,3.88bpm
cashflow_invst / EBIT,2012,1490.0,1222.0,126K,0.18,0.15,1.56%,4.69%,2.46%,12.62bpm
cashflow_invst / EBIT,2013,1522.0,1159.0,597K,0.74,1.09,5.97%,2.63%,2.76%,42.96bpm
cashflow_invst / EBIT,2014,1471.0,1197.0,359K,0.44,0.52,3.59%,3.38%,2.62%,27.22bpm
cashflow_invst / EBIT,2015,1493.0,1163.0,-841K,-1.09,-1.62,-8.41%,6.99%,3.81%,-43.79bpm
cashflow_invst / EBIT,2016,1461.0,1212.0,-992K,-1.3,-2.6,-9.92%,6.25%,2.48%,-79.26bpm
cashflow_invst / EBIT,2017,1394.0,1271.0,-66.1K,-1.17,-2.41,-5.55%,0.86%,1.31%,-84.05bpm
cashflow_invst / EBIT,2012-2017,1485.0,1191.0,-818K,-0.21,-0.16,-1.66%,11.51%,2.80%,-11.76bpm
EBITDA / cashflow_invst,2012,1291.0,1277.0,-833K,-1.13,-1.97,-10.34%,8.28%,3.39%,-60.59bpm
EBITDA / cashflow_invst,2013,1342.0,1184.0,249K,0.16,0.13,2.49%,6.52%,3.79%,13.02bpm
EBITDA / cashflow_invst,2014,1299.0,1203.0,1.21M,0.57,0.8,12.08%,6.68%,6.07%,39.46bpm
EBITDA / cashflow_invst,2015,1244.0,1237.0,229K,0.15,0.09,2.29%,7.76%,5.87%,7.74bpm
EBITDA / cashflow_invst,2016,1200.0,1292.0,-410K,-0.25,-0.28,-4.10%,8.33%,3.45%,-23.53bpm
EBITDA / cashflow_invst,2017,1200.0,1285.0,-5.37K,-0.05,-0.02,-0.45%,1.75%,2.30%,-3.89bpm
EBITDA / cashflow_invst,2012-2017,1273.0,1238.0,438K,0.06,0.02,0.89%,10.85%,4.51%,3.91bpm
cashflow_invst / EBITDA,2012,1420.0,1167.0,-601K,-0.97,-1.6,-7.46%,5.84%,2.73%,-54.28bpm
cashflow_invst / EBITDA,2013,1390.0,1159.0,174K,0.17,0.14,1.74%,3.29%,2.58%,13.33bpm
cashflow_invst / EBITDA,2014,1411.0,1114.0,-792K,-1.01,-1.59,-7.92%,5.06%,3.21%,-48.96bpm
cashflow_invst / EBITDA,2015,1508.0,998.0,353K,0.33,0.3,3.53%,4.60%,4.41%,15.90bpm
cashflow_invst / EBITDA,2016,1456.0,1060.0,-891K,-0.97,-1.56,-8.91%,7.71%,3.42%,-51.71bpm
cashflow_invst / EBITDA,2017,1412.0,1095.0,-375K,-4.78,-18.55,-31.53%,2.15%,2.09%,-298.93bpm
cashflow_invst / EBITDA,2012-2017,1437.0,1097.0,-2.13M,-0.47,-0.54,-4.33%,12.29%,3.26%,-26.34bpm
employee / cashflow_invst,2012,1456.0,1149.0,561K,1.04,1.6,6.96%,2.76%,2.93%,47.06bpm
employee / cashflow_invst,2013,1469.0,1075.0,-188K,-0.23,-0.18,-1.88%,5.52%,2.88%,-13.01bpm
employee / cashflow_invst,2014,1505.0,1029.0,-435K,-0.56,-0.66,-4.35%,8.32%,3.18%,-27.11bpm
employee / cashflow_invst,2015,1484.0,1052.0,1.02M,1.18,1.99,10.20%,2.44%,3.58%,56.53bpm
employee / cashflow_invst,2016,1485.0,1064.0,27.1K,0.03,0.01,0.27%,4.05%,3.29%,1.63bpm
employee / cashflow_invst,2017,1485.0,1077.0,179K,2.84,8.48,15.02%,0.59%,1.68%,177.11bpm
employee / cashflow_invst,2012-2017,1481.0,1071.0,1.16M,0.28,0.24,2.36%,10.76%,3.14%,14.90bpm
cashflow_invst / employee,2012,1531.0,1054.0,790K,1.55,3.3,9.80%,3.19%,2.18%,89.15bpm
cashflow_invst / employee,2013,1557.0,963.0,-29.0K,-0.05,-0.01,-0.29%,3.69%,3.01%,-1.91bpm
cashflow_invst / employee,2014,1562.0,943.0,586K,0.82,1.24,5.86%,2.04%,2.55%,45.58bpm
cashflow_invst / employee,2015,1609.0,898.0,868K,1.18,1.59,8.68%,2.28%,4.79%,35.94bpm
cashflow_invst / employee,2016,1593.0,924.0,-385K,-0.38,-0.45,-3.85%,6.10%,2.83%,-26.96bpm
cashflow_invst / employee,2017,1580.0,945.0,69.4K,0.79,1.03,5.83%,0.59%,3.42%,33.80bpm
cashflow_invst / employee,2012-2017,1572.0,952.0,1.90M,0.51,0.56,3.86%,6.11%,3.12%,24.54bpm
enterprise_value / cashflow_invst,2012,1090.0,807.0,2.18M,2.64,5.32,27.03%,2.05%,6.69%,80.17bpm
enterprise_value / cashflow_invst,2013,1082.0,806.0,-1.12M,-0.63,-0.9,-11.16%,11.97%,5.40%,-40.99bpm
enterprise_value / cashflow_invst,2014,1082.0,799.0,-381K,-0.16,-0.11,-3.81%,10.48%,8.42%,-8.98bpm
enterprise_value / cashflow_invst,2015,1107.0,744.0,-369K,-0.19,-0.13,-3.69%,11.27%,8.43%,-8.68bpm
enterprise_value / cashflow_invst,2016,1073.0,758.0,64.7K,0.04,0.01,0.65%,13.14%,6.21%,2.07bpm
enterprise_value / cashflow_invst,2017,1069.0,775.0,-229K,-2.34,-5.83,-19.22%,1.81%,3.10%,-122.84bpm
enterprise_value / cashflow_invst,2012-2017,1086.0,782.0,147K,0.02,0.0,0.30%,18.15%,6.95%,0.85bpm
cashflow_invst / enterprise_value,2012,1112.0,788.0,369K,0.35,0.16,4.58%,3.45%,22.59%,4.03bpm
cashflow_invst / enterprise_value,2013,1100.0,789.0,1.55M,1.38,1.3,15.51%,2.98%,17.54%,17.54bpm
cashflow_invst / enterprise_value,2014,1080.0,803.0,211K,0.32,0.13,2.11%,3.62%,12.15%,3.45bpm
cashflow_invst / enterprise_value,2015,1097.0,757.0,1.99M,1.77,1.92,19.94%,2.35%,16.96%,23.33bpm
cashflow_invst / enterprise_value,2016,1080.0,753.0,1.07M,0.99,0.73,10.65%,4.49%,19.79%,10.68bpm
cashflow_invst / enterprise_value,2017,1072.0,774.0,-159K,-1.78,-1.69,-13.39%,1.89%,14.83%,-17.93bpm
cashflow_invst / enterprise_value,2012-2017,1092.0,778.0,5.03M,0.96,0.73,10.22%,4.83%,17.54%,11.55bpm
eps / cashflow_invst,2012,1471.0,1206.0,-536K,-0.7,-0.74,-6.65%,5.94%,5.98%,-22.07bpm
eps / cashflow_invst,2013,1436.0,1206.0,770K,0.4,0.44,7.70%,9.07%,6.30%,24.24bpm
eps / cashflow_invst,2014,1459.0,1177.0,551K,0.22,0.2,5.51%,12.24%,7.19%,15.21bpm
eps / cashflow_invst,2015,1448.0,1175.0,127K,0.06,0.03,1.27%,12.50%,6.46%,3.91bpm
eps / cashflow_invst,2016,1362.0,1278.0,-464K,-0.24,-0.25,-4.64%,10.30%,4.58%,-20.11bpm
eps / cashflow_invst,2017,1340.0,1274.0,53.6K,0.31,0.4,4.50%,3.48%,2.83%,31.53bpm
eps / cashflow_invst,2012-2017,1432.0,1210.0,502K,0.05,0.02,1.02%,13.50%,6.03%,3.36bpm
cashflow_invst / eps,2012,1535.0,1138.0,-139K,-0.23,-0.15,-1.72%,3.69%,4.03%,-8.49bpm
cashflow_invst / eps,2013,1602.0,1042.0,460K,0.59,0.64,4.60%,4.09%,3.94%,23.16bpm
cashflow_invst / eps,2014,1547.0,1090.0,22.6K,0.04,0.01,0.23%,3.52%,4.05%,1.11bpm
cashflow_invst / eps,2015,1521.0,1105.0,392K,0.68,0.64,3.92%,3.01%,4.52%,17.21bpm
cashflow_invst / eps,2016,1527.0,1117.0,863K,1.4,2.18,8.63%,1.92%,3.54%,48.36bpm
cashflow_invst / eps,2017,1523.0,1091.0,-166K,-2.27,-5.73,-13.98%,1.85%,2.19%,-126.93bpm
cashflow_invst / eps,2012-2017,1546.0,1097.0,1.43M,0.44,0.37,2.91%,5.25%,3.97%,14.53bpm
equity / cashflow_invst,2012,1383.0,1233.0,196K,0.39,0.3,2.44%,2.52%,3.97%,12.18bpm
equity / cashflow_invst,2013,1475.0,1112.0,-2.24M,-1.69,-4.03,-22.37%,12.19%,3.93%,-113.00bpm
equity / cashflow_invst,2014,1492.0,1089.0,1.50M,0.98,1.7,15.01%,8.77%,5.00%,59.55bpm
equity / cashflow_invst,2015,1492.0,1084.0,1.25M,0.86,1.34,12.54%,5.70%,5.16%,48.25bpm
equity / cashflow_invst,2016,1396.0,1197.0,2.39M,1.94,4.87,23.94%,3.44%,3.78%,125.56bpm
equity / cashflow_invst,2017,1434.0,1149.0,-335K,-3.52,-12.55,-28.13%,1.85%,2.22%,-251.48bpm
